Halliday,Software Engineer,https://app.ashbyhq.com/api/images/org-theme-logo/04fa89c3-ae78-417a-b90b-a2206cfc24aa/63bc195d-5510-4c24-9a80-816b4d50caf6/14e86d4d-06f6-42ef-81f9-2a0e317a300a.png,https://jobs.ashbyhq.com/halliday/fcb6293c-76b6-4bcc-b75b-ebdb0ae7ec6a,ASHBY,"title: Software Engineer @ Halliday, salary: Unknown"
Pika,"Software Engineer, Backend",https://app.ashbyhq.com/api/images/org-theme-social/34eb1897-e4cf-41c8-a7b2-c43dbed45077/676f9f04-1a82-42a5-a7dd-4ebcc620e216/c06d6bd6-a153-4b76-a0ad-f34baf4d1f76.png,https://jobs.ashbyhq.com/pika/5b28c8fa-440b-4cdb-a4b9-8bd86557c4e9,ASHBY,"title: Software Engineer, Backend @ Pika, salary: Unknown"
The San Francisco Compute Company,Software Engineer - Cloud,https://app.ashbyhq.com/api/images/org-theme-social/dbb7ab88-2a2a-4440-86d8-ff000ffed588/aef1b004-f1ab-46c6-9ddc-0a959eda9847/58d8b60b-a99d-46a8-a8df-94ab1edde70f.png,https://jobs.ashbyhq.com/sfcompute/6fd69951-3a03-46b4-a5ca-048ffc542322,ASHBY,"title: Software Engineer - Cloud @ The San Francisco Compute Company, salary: Unknown"
Stedi,Frontend Engineer: US & Canada,https://app.ashbyhq.com/api/images/org-theme-social/f7b884cd-e6fd-4982-b183-18e9c2d093d0/e97b131b-5c71-4fd0-bef1-36ee01bd5845/347944e1-dfe7-4db2-8f1d-5473606c0827.png,https://jobs.ashbyhq.com/stedi/566f3d59-ec20-4167-89a5-97db39f7102c,ASHBY,"title: Frontend Engineer: US & Canada @ Stedi, salary: Unknown"
Agentio,Software Engineer,https://app.ashbyhq.com/api/images/org-theme-logo/1049393e-4e4e-4324-a969-895915e03900/b1b510e1-c7af-4a9a-8601-8f4ec61f064b/e70180ae-6541-4f4a-af8b-e50d21cf70e0.png,https://jobs.ashbyhq.com/agentio/d22f7e19-cf51-4b48-9e5c-0e663dcfd389,ASHBY,"title: Software Engineer @ Agentio, salary: Unknown"
Decagon,Agent Software Engineer,https://app.ashbyhq.com/api/images/org-theme-logo/c9d1b6ec-be84-4801-bf17-4fe1422349e6/185d14f2-d29e-4562-98ef-d44a32883376/ed11392e-a580-48f2-9720-bbca7a9df696.png,https://jobs.ashbyhq.com/decagon/599cb90b-1d17-4509-a716-aa4f6952b43f,ASHBY,"title: Agent Software Engineer @ Decagon, salary: Unknown"
Dust,Software Engineer,https://app.ashbyhq.com/api/images/org-theme-social/4fbed559-3472-4cab-b074-d2e2d34772be/a8f054be-a486-4f75-9caf-a7a10d7642b7/2020b3b3-9c4d-49ca-b0a9-4f67326639ca.png,https://jobs.ashbyhq.com/dust/bad88b68-e2db-47f0-ab42-4d6dd2664e76,ASHBY,"title: Software Engineer @ Dust, salary: Unknown"
Ramp,Software Engineer Internship | Forward Deployed,https://app.ashbyhq.com/api/images/org-theme-social/7a158cac-9866-4881-95a8-bc946d3dca79/c68257b4-5a2d-4ecc-93a6-fe3c6766ce8b/6dd29608-289f-4c8a-9d6e-6f6ac8ea925b.png,https://jobs.ashbyhq.com/ramp/ccb1aca4-79ac-414b-b7d8-bc908c575ef1,ASHBY,intern
Mariana Minerals,Full Stack Software Engineer,https://app.ashbyhq.com/api/images/org-theme-social/8ae82c13-6f43-4afb-a55e-1e3843011d1b/1b1c86a3-fcf6-4565-a771-8e870f2fc168/13b4eb52-141d-40cd-96e7-963d6b153000.png,https://jobs.ashbyhq.com/marianaminerals/eebc7048-02a3-42ba-80b7-04b8a997e50a,ASHBY,"title: Full Stack Software Engineer @ Mariana Minerals, salary: Unknown"
Crosby,Senior Software Engineer,https://app.ashbyhq.com/api/images/org-theme-social/3379faba-4150-442e-ad76-814b4137d560/1f23b182-c2ad-44a6-b478-4308157395ef/147ed664-60f2-47f4-bc50-12c943e6e8a6.png,https://jobs.ashbyhq.com/crosby/e5e089e9-7074-4fd8-99aa-fbb067d0b6cd,ASHBY,senior
